,date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant_growth,leaves,leafspots_halo,leafspots_marg,leafspot_size, leaf_shread,leaf_malf,leaf_mild,stem,lodging,stem_cankers,canker_lesion,fruiting_bodies,external_decay,mycelium,int_discolor,sclerotia,fruit_pods,fruit_spots,seed,mold_growth,seed_discolor,seed_size,shriveling,roots,k1_label,k2_label,k3_label,k4_label,k5_label,k6_label,k7_label,k8_label,k9_label,k10_label,k11_label,k12_label,k13_label,k14_label,k15_label,k16_label,k17_label,k18_label,k19_label,k20_label,k21_label,k22_label,k23_label,k24_label,k25_label,k26_label,k27_label,k28_label,k29_label,k30_label,k31_label,k32_label,k33_label,k34_label,k35_label,k36_label,k37_label,k38_label,k39_label,k40_label,k41_label,k42_label,k43_label,k44_label,k45_label,k46_label,k47_label,k48_label,k49_label,k50_label,k51_label,k52_label,k53_label,k54_label,k55_label,k56_label,k57_label,k58_label,k59_label
0,6,0,2,1,0,1,1,1,0,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
1,4,0,2,1,0,2,0,2,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
2,3,0,2,1,0,1,0,2,1,2,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
3,3,0,2,1,0,1,0,2,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
4,6,0,2,1,0,2,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
5,5,0,2,1,0,3,0,1,0,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
6,5,0,2,1,0,2,0,1,1,0,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
7,4,0,2,1,1,1,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
8,6,0,2,1,0,3,0,1,1,1,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,18,8,24,14,33,36,35,9,1,33,31,24,11,15,33,33
9,4,0,2,1,0,2,0,2,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,2,2,2,5,0,5,3,8,5,7,2,11,9,12,14,9,13,6,14,5,13,13,14,12,16,8,4,17,3,19,17,15,15,6,2,10,4,15,18,21,14,43,40,34,31,13,18,17,30,19,20,1,21,27,27,30,0
